tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1372,1373,四川.平春ZXD,四川.平春/1#变压器_m,1,1,1,0.000888,-0.01,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.40231,0.00559,0,0,1,1,1,1
1372,1374,四川.平春ZXD,四川.平春/1#变压器_l,1,1,1,0.002208,0.071664,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.07857,0.14125,0,0,1,1,1,1
31,1375,四川.平春.220.1376,四川.平春/2#变压器_h,1,1,1,0.002626,0.119749,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.46548,-0.08262,0,0,1,1,1,1
1375,1376,四川.平春ZXD,四川.平春/2#变压器_m,1,1,1,0.000959,-0.003837,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.41303,0.03237,0,0,1,1,1,1
1375,1377,四川.平春ZXD,四川.平春/2#变压器_l,1,1,1,0.002325,0.066578,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.05277,0.08017,0,0,1,1,1,1
176,1378,四川.复兴.220.436,四川.复兴/1#变压器_h,1,1,1,0.002439,0.119582,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.22072,0.08864,0,0,1,1,1,1
1378,1379,四川.复兴ZXD,四川.复兴/1#变压器_m,1,1,1,0.001118,-0.00625,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.21199,-0.07646,0,0,1,1,1,1
1378,1380,四川.复兴ZXD,四川.复兴/1#变压器_l,1,1,1,0.002206,0.067915,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.00846,-0.00507,0,0,1,1,1,1
176,1381,四川.复兴.220.436,四川.复兴/2#变压器_h,1,1,1,0.00226,0.120291,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.21883,0.07557,0,0,1,1,1,1
1381,1382,四川.复兴ZXD,四川.复兴/2#变压器_m,1,1,1,0.000688,-0.011125,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.22048,-0.06112,0,0,1,1,1,1
1381,1383,四川.复兴ZXD,四川.复兴/2#变压器_l,1,1,1,0.002487,0.073875,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,0.00181,-0.00797,0,0,1,1,1,1
