bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
129,2136,0,1,1,0.995225,-12.9392,0,0,0,0,220,230,0,0,0,0,0,1.04151,-8.80922,-3.22E-05,-1.82E-06,1,0,0,,,,,,,
130,2169,0,1,1,0.985913,-16.6048,0,0,0,0,220,230,0,0,0,0,0,1.0392,-12.8254,-0.000470397,-3.23E-05,1,0,0,,,,,,,
131,2251,0,1,1,0.999622,-5.81526,0,0,0,0,220,230,0,0,0,0,0,1.00857,-2.5577,-5.16E-07,-6.27E-09,1,0,0,,,,,,,
132,467,0,1,1,0.992211,-14.4937,0,0,0,0,220,230,0,0,0,0,0,1.03107,-10.7694,-0.000106049,-2.69E-05,1,0,0,,,,,,,
133,520,0,1,1,1.0017,-15.577,0,0,0,0,220,230,0,0,0,0,0,1.02695,-11.7631,-0.00010296,-1.24E-05,1,0,0,,,,,,,
134,1782,0,1,1,1.00025,-3.02301,0,0,0,0,220,230,0,0,0,0,0,0.997827,0.33251,9.72E-05,6.83E-07,1,0,0,,,,,,,
135,1492,0,1,1,1.00016,-3.03336,0,0,0,0,220,230,0,0,0,0,0,0.997723,0.322251,5.65E-05,7.36E-06,1,0,0,,,,,,,
136,812,0,1,1,0.997959,-12.4319,0,0,0,0,220,230,0,0,0,0,0,1.04064,-8.31972,6.06E-05,1.50E-05,1,0,0,,,,,,,
137,2288,0,1,1,0.99641,-12.6315,0,0,0,0,220,230,0,0,0,0,0,1.04119,-8.51595,-0.000250821,1.86E-05,1,0,0,,,,,,,
138,981,0,1,1,1.00212,-7.97875,0,-0.03471,0,0,220,230,0,0,0,0,0,1.01658,-4.75345,-0.000125034,0.0347013,1,0,0,,,,,,,
139,1322,0,1,1,0.986657,-21.2276,0,0,0,0,220,230,0,0,0,0,0,1.01479,-17.1024,-0.000387449,-5.76E-05,1,0,0,,,,,,,
140,818,0,1,1,0.997121,-17.0541,1.85896,-0.00482,0,0,220,230,0,0,0,0,0,1.02564,-13.1663,-1.85854,0.00476373,1,0,0,,,,,,,
141,944,0,1,1,0.997345,-15.7678,0,0,0,0,220,230,0,0,0,0,0,1.02669,-12.3484,7.69E-05,9.45E-05,1,0,0,,,,,,,
142,1097,0,1,1,1.01416,-5.24036,0,0,0,0,500,525,0,0,0,0,0,1.01581,-1.88677,1.05E-05,1.37E-05,1,0,0,,,,,,,
143,10905,0,1,1,1.00685,-2.424,0,0,0,0,220,230,0,0,0,0,0,1.00603,0.897545,-4.55E-05,6.12E-06,1,0,0,,,,,,,
144,1135,0,1,1,1.00531,-5.1046,0,0,0,0,220,230,0,0,0,0,0,1.0044,-1.78558,-3.48E-05,-7.45E-08,1,0,0,,,,,,,
145,1787,0,1,1,0.993643,-14.6564,0,0,0,0,220,230,0,0,0,0,0,1.02345,-11.2505,-0.000174399,-9.25E-06,1,0,0,,,,,,,
146,1165,0,1,1,0.991174,-15.9052,0,0,0,0,220,230,0,0,0,0,0,1.02251,-12.4349,-0.000130861,-5.74E-06,1,0,0,,,,,,,
147,1815,0,1,1,1.00668,-11.0445,0,0,0,0,220,230,0,0,0,0,0,1.02385,-7.36372,1.78E-05,1.08E-05,1,0,0,,,,,,,
148,937,0,1,1,1.00669,-11.0366,0,0,0,0,220,230,0,0,0,0,0,1.02377,-7.35506,5.76E-06,1.03E-06,1,0,0,,,,,,,
149,1230,0,1,1,1.00251,-11.089,0,0,0,0,500,525,0,0,0,0,0,1.01674,-7.56673,-0.000246287,1.74E-05,1,0,0,,,,,,,
150,1221,0,1,1,0.986571,-19.6247,0,0,0,0,220,230,0,0,0,0,0,1.03467,-15.5384,-0.000120607,-3.62E-05,1,0,0,,,,,,,
151,1329,0,1,1,1.00796,-8.01276,0,0,0,0,500,525,0,0,0,0,0,1.03888,-4.99871,-0.000847028,4.35E-05,1,0,0,,,,,,,
152,2224,0,1,1,1.00361,-7.99001,0,0,0,0,220,230,0,0,0,0,0,0.988895,-4.44802,4.89E-06,5.99E-06,1,0,0,,,,,,,
153,775,0,1,1,1.00495,-7.81192,0,0,0,0,220,230,0,0,0,0,0,0.991441,-4.28067,4.24E-05,1.57E-06,1,0,0,,,,,,,
154,678,0,1,1,0.984281,-19.5911,0.0002,0.00229,0,0,220,230,0,0,0,0,0,1.03264,-15.5094,-0.000200372,-0.00228967,1,0,0,,,,,,,
155,1102,0,1,1,1.00006,-3.0907,0,0,0,0,220,230,0,0,0,0,0,0.997584,0.265063,-0.000513457,-3.58E-05,1,0,0,,,,,,,
156,630,0,1,1,1.00083,-13.3876,0,0,0,0,500,525,0,0,0,0,0,1.03575,-9.80916,-0.00119045,-0.000150886,1,0,0,,,,,,,
157,1614,0,1,1,0.98949,-18.6706,0,0,0,0,220,230,0,0,0,0,0,1.05096,-14.5482,0.000612892,0.000396603,1,0,0,,,,,,,
158,1061,0,1,1,0.991651,-18.0988,0,0,0,0,220,230,0,0,0,0,0,1.03018,-14.0819,0.000360114,6.21E-05,1,0,0,,,,,,,
159,2177,0,1,1,0.990253,-18.5527,0,-0.11436,0,0,220,230,0,0,0,0,0,1.03454,-14.533,-1.40E-05,0.114339,1,0,0,,,,,,,
