ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
33,913,1,1,1,1,0.000955,0.08283,0,0,0,0,0,0,1.0522,0,0,0,0,0,0,-0.00132919,-0.0672803,0.0013341,0.0677061,1,1,1,1
33,916,1,1,1,1,0.000989,0.08253,0,0,0,0,0,0,1.0402,0,0,0,0,0,0,0.00126789,0.0680494,-0.00126281,-0.0676252,1,1,1,1
34,35,1,1,1,0,0.001864,0.013949,0.02317,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749739,0.181197,0.0750132,-0.227148,1,1,1,1
34,35,1,1,1,0,0.001501,0.01279,0.02283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
34,133,1,1,1,0,0.00195,0.013093,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05607,0.163974,-1.05493,-0.156549,1,1,1,1
34,133,1,1,1,0,0.00206,0.013093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
34,431,1,1,1,1,0.000828,0.079904,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,-1.81E-05,-2.34E-06,1.81E-05,2.34E-06,1,1,1,1
35,121,1,1,1,0,0.001136,0.004544,0.00439,0,0,0,0,0,0,0,0,0,0,0,0,0.4755,0.132317,-0.475224,-0.135617,1,1,1,1
35,301,1,1,1,0,0.00217,0.011771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172335,-0.0415944,-0.0017196,0.0416147,1,1,1,1
35,944,1,1,1,1,0.001619,0.11612,0,0,0,0,0,0,1.0163,0,0,0,0,0,0,-8.53E-06,-1.83E-06,8.53E-06,1.83E-06,1,1,1,1
35,947,1,1,1,1,0.001827,0.1215,0,0,0,0,0,0,1.0163,0,0,0,0,0,0,-8.15E-06,-1.74E-06,8.15E-06,1.74E-06,1,1,1,1
36,108,1,1,1,0,0.00327,0.016873,0.016442,0,0,0,0,0,0,0,0,0,0,0,0,1.10588,0.0348284,-1.10167,-0.0286795,1,1,1,1
36,939,1,1,1,1,0.000991,0.08194,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-8.94E-06,-1.47E-06,8.94E-06,1.47E-06,1,1,1,1
36,942,1,1,1,1,0.001,0.08308,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-8.87E-06,-1.53E-06,8.87E-06,1.53E-06,1,1,1,1
37,38,1,1,1,0,0.00797,0.04554,0.0485,0,0,0,0,0,0,0,0,0,0,0,0,2.33071,-0.0883591,-2.30903,0.119331,1,1,1,1
37,38,1,1,1,0,0.00756,0.04424,0.04928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
37,336,1,1,1,0,0.002297,0.011125,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37484,0.178726,2.38155,-0.146221,1,1,1,1
37,336,1,1,1,0,0.002308,0.011166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
37,415,1,1,1,1,0.00103,0.12658,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,-4.16E-09,1.09E-09,4.16E-09,-1.09E-09,1,1,1,1
37,418,1,1,1,1,0.00172,0.13213,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,-3.83E-09,1.71E-09,3.83E-09,-1.71E-09,1,1,1,1
38,13,1,1,1,0,0.00096,0.00562,0.00913,0,0,0,0,0,0,0,0,0,0,0,0,-0.21689,-0.0841626,0.216916,0.0677894,1,1,1,1
38,13,1,1,1,0,0.00097,0.00576,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
38,210,1,1,1,0,0.001049,0.007476,0.014283,0,0,0,0,0,0,0,0,0,0,0,0,-0.492499,-0.0559989,0.492647,0.0300516,1,1,1,1
38,210,1,1,1,0,0.00128,0.007495,0.013754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
38,870,1,1,1,1,0,0.08736,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,0,-0.198089,0,0.201695,1,1,1,1
38,873,1,1,1,1,0,0.08756,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,0,-0.196984,0,0.200558,1,1,1,1
38,1128,1,1,1,1,0,0.08683,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,0,0.414809,0,-0.400555,1,1,1,1
39,40,1,1,1,0,0.0011,0.005905,0.00433,0,0,0,0,0,0,0,0,0,0,0,0,1.58803,-0.862394,-1.58617,0.86211,1,1,1,1
39,40,1,1,1,0,0.00102,0.004682,0.00574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
39,442,1,1,1,1,0.00104,0.08392,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,0.0160726,0.677889,-0.0155677,-0.637146,1,1,1,1
39,445,1,1,1,1,0.00096,0.08347,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,0.0146437,0.669111,-0.0141897,-0.629633,1,1,1,1
39,1301,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0290232,-1.27047,0.0291963,1.2722,1,1,1,1
40,949,1,1,1,1,0.00219,0.13046,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.55E-05,-4.90E-06,2.55E-05,4.90E-06,1,1,1,1
