bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3953,6165,0,1,2,0.957578,-1.35746,0,0,0.09302,0.00456,10,10.5,9.3,-9.3,0,0,0,10.055,0,9.302,0.456,1,1,0,0
3954,6145,0,1,2,1.04888,2.65884,0,0,0.13055,-0.05246,10,10.5,34.08,-34.08,0,0,0,11.013,2.659,13.055,-5.246,1,2,0,0
3955,6146,0,1,2,1.04959,2.68028,0,0,0.13338,-0.04753,10,10.5,34.08,-34.08,0,0,0,11.021,2.68,13.338,-4.753,1,2,0,0
3956,626_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3957,6142,0,1,2,1.01664,-6.44642,0,0,0.08227,0.0242,10,10.5,13.14,-13.14,0,0,0,10.675,0,8.227,2.42,1,3,0,0
3958,6211,0,1,2,0.99153,-6.03064,0,0,0.09261,0.04091,10,10.5,20.34,-20.34,0,0,0,10.411,0,9.261,4.091,1,2,0,0
3959,5929,0,1,2,0.978009,-16.7279,0,0,0.08023,0.04979,10,10.5,14.88,-14.88,0,0,0,10.269,0,8.023,4.979,1,2,0,0
3960,6218,0,1,2,1.03306,-2.57894,0,0,0.01672,0.01204,10,10.5,15,-15,0,0,0,10.847,0,1.672,1.204,1,2,0,0
3961,6223,0,1,2,1.01529,-12.2395,0,0,0.094,-0.01035,10,10.5,11.62,-11.62,0,0,0,10.661,0,9.4,-1.035,1,2,0,0
3962,40028,0,1,2,1.01556,-11.9588,0,0,0.12748,-0.00808,10,10.5,5.81,-5.81,0,0,0,10.663,0,12.748,-0.808,1,1,0,0
3963,6484,0,1,2,0.937942,-3.31655,0,0,0.02631,0.01179,6,6,7.5,-7.5,0,0,0,5.909,0,2.631,1.179,1,2,0,0
3964,6495,0,1,2,1.02458,-11.792,0,0,0.05056,0.02241,10,10.5,0,0,0,0,0,10.758,0,5.056,2.241,1,2,0,0
3965,6503,0,1,2,1.0883,-11.9901,0.01584,0.0041,0.17549,0.03135,10,10.5,13.5,-13.5,0,0,0,11.427,0,17.549,3.135,1,1,0,1
3966,40033,0,1,2,1.08604,-12.4021,0.03389,0.00829,0.17246,0.02909,10,10.5,13.5,-13.5,0,0,0,11.403,0,17.246,2.909,1,1,0,1
3967,6505,0,1,2,0.967516,-1.25343,0,0,0.0948,0.01017,10,10.5,12.4,-12.4,0,0,0,10.159,0,9.48,1.017,1,2,0,0
3968,6507,0,1,2,0.96072,-6.29513,0,0,0.19508,0.01497,10,10.5,24.78,-24.78,0,0,0,10.088,0,19.508,1.497,1,2,0,0
3969,6519,0,1,2,1.02027,-9.66545,0,0,0.09958,-0.01176,10,10.5,22.32,-22.32,0,0,0,10.713,0,9.958,-1.176,2,2,0,0
3970,6524,0,1,2,1.00424,-15.6347,0,0,0.07477,-0.01489,10,10.5,2.44,-2.44,0,0,0,10.545,0,7.477,-1.489,1,1,0,0
3971,6535,0,1,2,0.971371,-1.6077,0,0,0.0213,0.00699,10,10.5,0,0,0,0,0,10.199,0,2.13,0.699,1,2,0,0
3972,40035,0,1,2,0.971671,-1.58917,0,0,0.02482,0.01035,10,10.5,0,0,0,0,0,10.203,0,2.482,1.035,1,2,0,0
3973,6533,0,1,2,0.971618,-1.56875,0,0,0.0348,0.01306,10,10.5,0,0,0,0,0,10.202,0,3.48,1.306,1,3,0,0
3974,671_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3975,6538,0,1,1,0.957364,-1.72743,-0.00952,-0.00253,0,0,35,35,0,0,0,0,0,0,0,0,0,1,0,0,1
3976,672_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
