tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
53,29,莆田.湄忠Ⅱ路,1,1,0,0.000605,0.003573,0.001587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-117.000000,-7.200000,115.470001,4.630000,0.000000
51,54,莆田.田忠线,1,1,0,0.006383,0.026183,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.600000,-4.200000,-1.160000,0.000000
55,4,莆田.宅进Ⅰ路,1,1,0,0.001096,0.008904,0.004496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.799999,-4.100000,57.619999,0.000000,0.000000
55,4,莆田.宅进Ⅱ路,1,1,0,0.001096,0.008904,0.004496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.099998,-2.800000,58.070000,-0.890000,0.000000
15,55,莆田.莆宅Ⅰ路,1,1,0,0.000926,0.006578,0.002910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.360000,-0.060000,-8.100000,-3.300000,0.000000
15,55,莆田.莆宅Ⅱ路,1,1,0,0.000926,0.006578,0.002910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.510000,0.330000,-7.700000,-2.700000,0.000000
56,2,莆田.宅海线,1,1,0,0.005981,0.023922,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.000000
56,13,莆田.宅枫Ⅰ路,1,1,0,0.006812,0.027249,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.500000,19.100000,-45.599998,-18.650000,0.000000
23,57,莆田.新筱线,1,1,0,0.000756,0.003781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.600000,0.000000,0.000000,0.000000
23,58,莆田.新杨线,1,1,0,0.004644,0.018578,0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.160000,-1.880000,-4.940000,1.460000,0.000000
34,59,莆田.栖忠Ⅰ路,1,1,0,0.016471,0.065883,0.000070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.420000,-0.850000,4.420000,0.850000,0.000000
